,location,bedrooms,bathrooms,price,Bed/Bath
1887,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1888,"Westlands, Nairobi",2,2,100000,1.0
1889,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1890,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1891,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1892,"Kileleshwa, Nairobi",3,4,70000,0.75
1893,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1894,"Kileleshwa, Nairobi",1,1,110000,1.0
1895,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1896,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1898,"Muthaiga, Nairobi",4,5,300000,0.8
1899,"Nyali, Mombasa",1,1,5000,1.0
1900,"Westlands, Nairobi",4,2,165000,2.0
1901,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1902,"Shanzu, Mombasa",1,1,55000,1.0
1903,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1905,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1906,"Kilimani, Nairobi",3,3,75000,1.0
1908,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1909,"Westlands, Nairobi",2,2,100000,1.0
1910,"Shanzu, Mombasa",1,1,55000,1.0
1911,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1912,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1913,"Muthaiga, Nairobi",4,5,300000,0.8
1914,"Kileleshwa, Nairobi",3,4,70000,0.75
1915,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1916,"Kileleshwa, Nairobi",1,1,110000,1.0
1917,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1918,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1920,"Muthaiga, Nairobi",4,5,300000,0.8
1921,"Nyali, Mombasa",1,1,5000,1.0
1922,"Westlands, Nairobi",4,2,165000,2.0
1923,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1924,"Shanzu, Mombasa",1,1,55000,1.0
1925,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1927,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1928,"Kilimani, Nairobi",3,3,75000,1.0
1930,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1931,"Westlands, Nairobi",2,2,100000,1.0
1932,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1933,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1934,"Kileleshwa, Nairobi",3,4,70000,0.75
1935,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1936,"Kileleshwa, Nairobi",1,1,110000,1.0
1937,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1938,"Kileleshwa, Nairobi",3,4,70000,0.75
1939,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1941,"Muthaiga, Nairobi",4,5,300000,0.8
1942,"Nyali, Mombasa",1,1,5000,1.0
1943,"Westlands, Nairobi",4,2,165000,2.0
1944,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
